Fahrenheit,   Celsius,
  -161.000,   -107.222,
    19.000,     -7.222,
  -146.000,    -98.889,
   -41.000,    -40.556,
  -179.000,   -117.222,
  -218.000,   -138.889,
   -45.000,    -42.778,
   -43.000,    -41.667,
    76.000,     24.444,
   124.000,     51.111,
  -217.000,   -138.333,
   167.000,     75.000,
    23.000,     -5.000,
   184.000,     84.444,
   -48.000,    -44.444,
   156.000,     68.889,
   113.000,     45.000,
   104.000,     40.000,
   -27.000,    -32.778,
  -281.000,   -173.889,
